Title,Phone,Address,Url
Ffiona's Restaurant,020 7937 4152,"51 Kensington Church Street
London W8 4BA",https://www.yelp.co.uk/biz/ffionas-restaurant-london
Lanzhou Noodle Bar,020 7467 4546,"33 Cranbourne Street
London WC2H 7AD",https://www.yelp.co.uk/biz/lanzhou-noodle-bar-london
Battersea Pie,020 7240 9566,"Lower Ground Floor
28 The Market
London WC2E 8RA",https://www.yelp.co.uk/biz/battersea-pie-london-2
Ye Olde Cheshire Cheese,020 7353 6170,"145 Fleet Street
London EC4A 2BU",https://www.yelp.co.uk/biz/ye-olde-cheshire-cheese-london
Laughing Halibut,020 7799 2844,"38 Strutton Ground
London SW1P 2HR",https://www.yelp.co.uk/biz/laughing-halibut-london
Abeno,020 7405 3211,"47 Museum Street
London WC1A 1LY",https://www.yelp.co.uk/biz/abeno-london
NOPI,020 7494 9584,"21-22 Warwick Street
London W1B 5NE",https://www.yelp.co.uk/biz/nopi-london
Mother Mash,020 7494 9644,"26 Ganton Street
London W1F 7QZ",https://www.yelp.co.uk/biz/mother-mash-london
Padella,,"6 Southwark Street
London SE1 1TQ",https://www.yelp.co.uk/biz/padella-london-3
Roti King,07966 093467,"40 Doric Way
London NW1 1LH",https://www.yelp.co.uk/biz/roti-king-london-2
Shoryu Ramen,,"9 Regent Street
London SW1Y 4LR",https://www.yelp.co.uk/biz/shoryu-ramen-london
The Mayfair Chippy,020 7741 2233,"14 North Audley Street
London W1K 6WE",https://www.yelp.co.uk/biz/the-mayfair-chippy-london-2
Roti Chai,020 7408 0101,"3 Portman Mews South
London W1H 6AY",https://www.yelp.co.uk/biz/roti-chai-london-2
The Queens Arms,020 7834 3313,"11 Warwick Way
Pimlico
London SW1V 1QT",https://www.yelp.co.uk/biz/the-queens-arms-london
Fish Bone,020 7580 2672,"82 Cleveland Street
London W1T 6NF",https://www.yelp.co.uk/biz/fish-bone-london
Dominique Ansel Treehouse,020 3883 4710,"24 Floral Street
Covent Garden
London WC2E 9DP",https://www.yelp.co.uk/biz/dominique-ansel-treehouse-london
Barrafina,020 7440 1456,"43 Drury Lane
Covent Garden
London WC2B 5RT",https://www.yelp.co.uk/biz/barrafina-london-5
The Pig and Butcher,020 7226 8304,"80 Liverpool Road
London N1 0QD",https://www.yelp.co.uk/biz/the-pig-and-butcher-london
Duck & Waffle,020 3640 7310,"110 Bishopsgate
40th Floor
London EC2N 4AY",https://www.yelp.co.uk/biz/duck-and-waffle-london
Dishoom,020 7420 9322,"22 Kingly Street
London W1B 5QP",https://www.yelp.co.uk/biz/dishoom-london-7
Bibimbap,020 7287 3434,"11 Greek Street
London W1D 4DJ",https://www.yelp.co.uk/biz/bibimbap-london-4
Pieminister,020 7928 5755,"Gabriel's Wharf
56 Upper Ground
London SE1 9PP",https://www.yelp.co.uk/biz/pieminister-london-3
Naru,020 7379 7962,"230 Shaftsbury Avenue
London WC2H 8EG",https://www.yelp.co.uk/biz/naru-london
Restaurant Gordon Ramsay,020 7352 4441,"68 Royal Hospital Road
London SW3 4HP",https://www.yelp.co.uk/biz/restaurant-gordon-ramsay-london-3
BAO - Soho,020 3019 2200,"53 Lexington Street
London W1F 9AS",https://www.yelp.co.uk/biz/bao-soho-london
The Shed,020 7229 4024,"122 Palace Gardens Terrace
London W8 4RT",https://www.yelp.co.uk/biz/the-shed-london-3
Sketch,020 7659 4500,"9 Conduit Street
Mayfair
London W1S 2XG",https://www.yelp.co.uk/biz/sketch-london-2
The Grazing Goat,020 7724 7243,"6 New Quebec Street
London W1H 7RQ",https://www.yelp.co.uk/biz/the-grazing-goat-london
Regency Café,020 7821 6596,"17-19 Regency Street
London SW1P 4BY",https://www.yelp.co.uk/biz/regency-caf%C3%A9-london-2
The Golden Chippy,020 8692 4333,"62 Greenwich High Road
Greenwich
London SE10 8LF",https://www.yelp.co.uk/biz/the-golden-chippy-london
